@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "SWISSFEL"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le     0.0005109989461
@ CHARGE           %le                  -1
@ ENERGY           %le         5960.050657
@ PC               %le         5960.050657
@ GAMMA            %le         11663528.28
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le              0.0001
@ SIGT             %le               0.001
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le         163.3883264
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le         4.058172996
@ Q2               %le         3.921747233
@ DQ1              %le                   0
@ DQ2              %le                   0
@ DXMAX            %le        0.1648582012
@ DYMAX            %le        0.1405799996
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         304.5016335
@ BETYMAX          %le          94.7236671
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le       0.04757122278
@ DYRMS            %le      0.009357156244
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.05.02 Linux 64"
@ DATE             %08s "27/05/21"
@ TIME             %08s "09.23.24"
* NAME                                S               RE11               RE12               RE13               RE14               RE16               RE31               RE32               RE33               RE34               RE36 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DRIFT_17"                      14.675        1.905929556        22.82795129                  0                  0                  0                  0                  0       0.2981988679        8.055135745                  0
 "SARCL01.MCOR090$START"              14.675        1.905929556        22.82795129                  0                  0                  0                  0                  0       0.2981988679        8.055135745                  0
 "DRIFT_18"                      14.725        1.917675415        22.99486926                  0                  0                  0                  0                  0       0.2906939621        8.020081837                  0
 "SARCL01.MCOR090.CXY"              14.925         1.96465885        23.66254114                  0                  0                  0                  0                  0       0.2606743386        7.879866208                  0
 "DRIFT_19"                      14.975        1.976404709        23.82945911                  0                  0                  0                  0                  0       0.2531694328        7.844812301                  0
 "SARCL01.MCOR090$END"              14.975        1.976404709        23.82945911                  0                  0                  0                  0                  0       0.2531694328        7.844812301                  0
 "DRIFT_20"                      15.175        2.023388144        24.49713099                  0                  0                  0                  0                  0       0.2231498093        7.704596672                  0
 "SARCL01.MQUA100$START"              15.175        2.023388144        24.49713099                  0                  0                  0                  0                  0       0.2231498093        7.704596672                  0
 "SARCL01.MQUA100"               15.475        2.045415535        24.91091084                  0                  0                  0                  0                  0       0.1830865092        7.676410877                  0
 "SARCL01.MQUA100$END"              15.475        2.045415535        24.91091084                  0                  0                  0                  0                  0       0.1830865092        7.676410877                  0
 "DRIFT_21"                       17.45        1.870331872        23.74415843                  0                  0                  0                  0                  0      -0.0500573043        8.688458651                  0
 "SARCL01.DBAM110$START"               17.45        1.870331872        23.74415843                  0                  0                  0                  0                  0      -0.0500573043        8.688458651                  0
 "DRIFT_22"                     17.4875        1.867007498         23.7220049                  0                  0                  0                  0                  0     -0.05448408557        8.707674748                  0
